Retailer_code,Product_number,Order_method_code,Date,Quantity,Unit_price,Unit_sale_price
1204,90110,3,12/01/2015,6121,7.00,6.51
1218,3110,2,13/01/2015,1064,23.80,21.42
1218,15110,2,13/01/2015,40,831.88,773.65
1218,21110,2,13/01/2015,357,40.65,38.62
1218,22110,2,13/01/2015,331,17.65,16.94
1218,25110,2,13/01/2015,236,285.89,265.88
1218,26110,2,13/01/2015,231,370.86,344.90
1218,32110,2,13/01/2015,550,27.37,26.00
1218,88110,2,13/01/2015,814,7.00,6.65
1218,89110,2,13/01/2015,1784,7.00,6.51
1218,97110,2,13/01/2015,407,35.00,33.25
1218,103110,2,13/01/2015,81,532.75,495.46
1218,110110,2,13/01/2015,208,98.75,91.84
1218,114110,2,13/01/2015,91,219.30,203.95
1209,87110,2,12/01/2015,1864,6.01,5.59
1211,70240,2,15/01/2015,102,122.70,114.11
1201,3110,4,12/01/2015,1033,23.80,21.42
1201,9110,4,12/01/2015,1716,13.22,12.43
1201,15110,4,12/01/2015,39,831.88,773.65
1201,21110,4,12/01/2015,359,40.65,39.02
1201,22110,4,12/01/2015,333,17.65,17.12
1201,25110,4,12/01/2015,235,285.89,265.88
1201,26110,4,12/01/2015,231,370.86,344.90
1201,32110,4,12/01/2015,524,27.37,26.28
1201,39110,4,12/01/2015,126,67.73,62.99
1201,64110,4,12/01/2015,128,41.61,39.95
1201,88110,4,12/01/2015,789,7.00,6.79
1201,89110,4,12/01/2015,1730,7.00,6.65
1201,97110,4,12/01/2015,416,35.00,33.60
1201,103110,4,12/01/2015,84,532.75,495.46
1201,104110,4,12/01/2015,67,889.02,826.79
1201,108110,4,12/01/2015,34,910.82,847.06
1201,110110,4,12/01/2015,206,98.75,91.84
1201,114110,4,12/01/2015,88,219.30,203.95
1211,69110,2,13/02/2015,95,110.00,102.30
1201,106110,4,09/02/2015,44,1161.46,1080.16
1201,107110,4,09/02/2015,42,1359.72,1264.54
1201,111110,4,09/02/2015,233,180.63,167.99
1201,112110,4,09/02/2015,695,10.64,10.21
1201,114110,4,09/02/2015,88,219.30,203.95
1405,69110,6,09/02/2015,91,110.00,102.30
1405,71110,6,09/02/2015,45,95.62,91.80
1405,72110,6,09/02/2015,30,148.30,140.89
1218,3110,2,17/02/2015,1491,23.80,21.42
1218,15110,2,17/02/2015,41,831.88,773.65
1218,21110,2,17/02/2015,330,40.65,38.62
1218,22110,2,17/02/2015,341,17.65,16.94
1218,25110,2,17/02/2015,252,285.89,265.88
1218,29110,2,17/02/2015,248,73.50,68.36
1218,32110,2,17/02/2015,556,27.37,26.00
1218,40110,2,17/02/2015,882,27.81,26.14
1218,88110,2,17/02/2015,901,7.00,6.65
1218,89110,2,17/02/2015,1821,7.00,6.51
1218,95110,2,17/02/2015,1645,6.00,5.58
1218,97110,2,17/02/2015,401,35.00,33.25
1218,103110,2,17/02/2015,70,532.75,495.46
1218,110110,2,17/02/2015,206,98.75,91.84
1215,7110,2,18/02/2015,867,66.77,60.09
1215,11110,2,18/02/2015,391,370.13,344.22
1215,38110,2,18/02/2015,311,31.55,30.29
1201,3110,4,09/02/2015,1380,23.80,21.42
1201,9110,4,09/02/2015,1830,13.22,12.43
1201,15110,4,09/02/2015,39,831.88,773.65
1201,21110,4,09/02/2015,317,40.65,39.02
1201,22110,4,09/02/2015,327,17.65,17.12
1201,23110,4,09/02/2015,312,104.48,97.17
1201,25110,4,09/02/2015,240,285.89,265.88
1201,29110,4,09/02/2015,236,73.50,68.36
1201,31110,4,09/02/2015,731,16.29,15.64
1201,32110,4,09/02/2015,506,27.37,26.28
1201,39110,4,09/02/2015,100,67.73,62.99
1201,40110,4,09/02/2015,802,27.81,26.70
1201,88110,4,09/02/2015,833,7.00,6.79
1201,89110,4,09/02/2015,1684,7.00,6.65
1201,97110,4,09/02/2015,391,35.00,33.60
1201,101110,4,09/02/2015,88,630.25,586.13
1201,103110,4,09/02/2015,69,532.75,495.46
1201,108110,4,09/02/2015,53,910.82,847.06
1201,109110,4,09/02/2015,571,76.86,71.48
1201,110110,4,09/02/2015,195,98.75,91.84
1201,113110,4,09/02/2015,874,12.81,12.30
1201,115110,4,09/02/2015,508,10.71,10.28
1216,3110,2,17/02/2015,1003,23.80,21.42
1216,9110,2,17/02/2015,1327,13.22,12.56
1216,15110,2,17/02/2015,30,831.88,773.65
1216,21110,2,17/02/2015,239,40.65,39.02
1216,22110,2,17/02/2015,247,17.65,17.12
1216,25110,2,17/02/2015,187,285.89,265.88
1216,29110,2,17/02/2015,184,73.50,68.36
1216,31110,2,17/02/2015,566,16.29,15.64
1216,32110,2,17/02/2015,392,27.37,26.55
1216,35110,2,17/02/2015,197,26.54,25.74
1216,40110,2,17/02/2015,621,27.81,26.70
1216,88110,2,17/02/2015,628,7.00,6.79
1216,89110,2,17/02/2015,1269,7.00,6.72
1216,93110,2,17/02/2015,1237,5.00,4.80
1216,95110,2,17/02/2015,1235,6.00,5.76
1216,97110,2,17/02/2015,278,35.00,33.60
1216,110110,2,17/02/2015,154,98.75,91.84
1215,7110,2,09/02/2015,847,66.77,60.09
1215,11110,2,09/02/2015,415,370.13,344.22
1215,38110,2,09/02/2015,328,31.55,30.29
1204,19110,3,09/02/2015,261,265.14,246.58
1204,27110,3,09/02/2015,126,460.52,428.28
1204,34110,3,09/02/2015,188,51.24,49.19
1204,75110,3,09/02/2015,313,119.69,111.31
1210,102110,2,18/02/2015,68,928.53,863.53
1210,104110,2,18/02/2015,55,889.02,826.79
1210,106110,2,18/02/2015,34,1161.46,1080.16
1210,111110,2,18/02/2015,185,180.63,167.99
1210,112110,2,18/02/2015,501,10.64,10.21
1210,114110,2,18/02/2015,63,219.30,203.95
1205,69110,3,17/02/2015,67,110.00,102.30
1205,71110,3,17/02/2015,33,95.62,92.75
1205,72110,3,17/02/2015,22,148.30,142.37
1218,15110,2,09/02/2015,39,831.88,773.65
1218,21110,2,09/02/2015,320,40.65,38.62
1218,22110,2,09/02/2015,331,17.65,16.94
1218,25110,2,09/02/2015,254,285.89,265.88
1218,29110,2,09/02/2015,250,73.50,68.36
1218,32110,2,09/02/2015,528,27.37,26.00
1218,40110,2,09/02/2015,838,27.81,26.14
1218,88110,2,09/02/2015,853,7.00,6.65
1218,89110,2,09/02/2015,1725,7.00,6.51
1218,95110,2,09/02/2015,1714,6.00,5.58
1218,97110,2,09/02/2015,402,35.00,33.25
1213,113110,2,09/02/2015,919,12.81,12.30
1215,6110,2,08/03/2015,347,129.72,120.64
1215,11110,2,08/03/2015,402,370.13,344.22
1215,13110,2,08/03/2015,205,582.42,541.65
1215,31110,2,08/03/2015,680,16.29,15.48
1215,74110,2,08/03/2015,692,16.64,15.64
1215,83110,2,08/03/2015,120,96.44,89.69
1215,86110,2,08/03/2015,2500,6.00,5.58
1215,92110,2,08/03/2015,1082,5.00,4.70
1215,93110,2,08/03/2015,1392,5.00,4.65
1216,99110,2,17/03/2015,217,5.23,5.23
1218,32110,2,19/03/2015,945,27.37,16.42
1218,88110,2,19/03/2015,815,7.00,6.65
1218,95110,2,19/03/2015,1827,6.00,5.70
1218,97110,2,19/03/2015,374,35.00,33.60
1218,114110,2,19/03/2015,74,219.30,203.95
1215,6110,2,08/03/2015,405,129.72,120.64
1215,11110,2,08/03/2015,434,370.13,344.22
1215,13110,2,08/03/2015,221,582.42,541.65
1215,31110,2,08/03/2015,740,16.29,15.48
1215,74110,2,08/03/2015,809,16.64,15.64
1215,83110,2,08/03/2015,144,96.44,89.69
1215,86110,2,08/03/2015,2718,6.00,5.58
1215,92110,2,08/03/2015,1294,5.00,4.70
1215,93110,2,08/03/2015,1665,5.00,4.65
1218,88110,2,08/03/2015,749,7.00,6.65
1201,29110,5,08/03/2015,466,73.50,68.36
1201,32110,5,08/03/2015,820,27.37,16.42
1201,40110,5,08/03/2015,706,27.81,26.70
1201,103110,5,08/03/2015,64,532.75,495.46
1201,106110,5,08/03/2015,46,1161.46,1080.16
1201,109110,5,08/03/2015,521,76.86,71.48
1201,112110,5,08/03/2015,38,10.64,0.00
1201,113110,5,08/03/2015,38,12.81,0.00
1201,114110,5,08/03/2015,97,219.30,189.70
1218,114110,2,08/03/2015,49,219.30,175.44
1218,32110,2,19/03/2015,875,27.37,16.42
1218,114110,2,19/03/2015,31,219.30,175.44
1216,64110,2,19/03/2015,77,41.61,40.36
1216,89110,2,19/03/2015,1049,7.00,6.72
1201,3110,5,08/03/2015,660,23.80,22.85
1201,39110,5,08/03/2015,95,67.73,62.99
1201,112110,5,08/03/2015,39,10.64,0.00
1201,113110,5,08/03/2015,39,12.81,0.00
1201,114110,5,08/03/2015,39,219.30,175.44
1201,102110,4,08/03/2015,93,928.53,863.53
1201,105110,4,08/03/2015,61,1271.08,1182.10
1201,107110,4,08/03/2015,37,1359.72,1264.54
1201,108110,4,08/03/2015,48,910.82,847.06
1201,112110,4,08/03/2015,707,10.64,10.21
1213,70240,2,08/03/2015,109,122.70,114.11
1405,68110,6,08/03/2015,97,61.84,57.51
1405,69110,6,08/03/2015,80,110.00,102.30
1405,70240,6,08/03/2015,91,122.70,114.11
1405,71110,6,08/03/2015,43,95.62,91.80
1205,68110,3,19/03/2015,70,61.84,58.13
1205,69110,3,19/03/2015,58,110.00,102.30
1205,70240,3,19/03/2015,66,122.70,114.11
1205,71110,3,19/03/2015,31,95.62,92.75
1210,102110,2,09/03/2015,68,928.53,863.53
1210,105110,2,09/03/2015,47,1271.08,1182.10
1210,107110,2,09/03/2015,28,1359.72,1264.54
1210,108110,2,09/03/2015,37,910.82,847.06
1210,112110,2,09/03/2015,533,10.64,5.11
1210,113110,2,09/03/2015,27,12.81,0.00
1210,114110,2,09/03/2015,27,219.30,175.44
1211,68110,2,11/03/2015,97,61.84,57.51
1211,69110,2,11/03/2015,80,110.00,102.30
1211,70240,2,11/03/2015,92,122.70,114.11
1211,69110,2,16/04/2015,75,110.00,102.30
1211,70240,2,16/04/2015,76,122.70,114.11
1209,76110,2,13/04/2015,253,40.52,38.90
1201,3110,5,13/04/2015,662,23.80,22.85
1201,15110,5,13/04/2015,32,831.88,773.65
1201,21110,5,13/04/2015,267,40.65,39.02
1201,22110,5,13/04/2015,269,17.65,17.12
1201,26110,5,13/04/2015,172,370.86,344.90
1201,29110,5,13/04/2015,375,73.50,68.36
1201,31110,5,13/04/2015,628,16.29,15.64
1201,32110,5,13/04/2015,774,27.37,16.42
1201,37110,5,13/04/2015,42,52.15,52.15
1201,64110,5,13/04/2015,109,41.61,39.95
1201,88110,5,13/04/2015,672,7.00,6.79
1201,89110,5,13/04/2015,1429,7.00,6.72
1201,97110,5,13/04/2015,341,35.00,33.60
1201,107110,5,13/04/2015,38,1359.72,1264.54
1201,109110,5,13/04/2015,563,76.86,71.48
1201,110110,5,13/04/2015,177,98.75,91.84
1201,111110,5,13/04/2015,186,180.63,167.99
1201,112110,5,13/04/2015,124,10.64,0.00
1201,113110,5,13/04/2015,124,12.81,0.00
1201,114110,5,13/04/2015,167,219.30,189.70
1218,3110,2,15/04/2015,695,23.80,22.61
1218,15110,2,15/04/2015,34,831.88,773.65
1218,21110,2,15/04/2015,271,40.65,38.62
1218,22110,2,15/04/2015,273,17.65,16.94
1218,26110,2,15/04/2015,176,370.86,344.90
1218,29110,2,15/04/2015,384,73.50,68.36
1218,32110,2,15/04/2015,832,27.37,16.42
1218,37110,2,15/04/2015,45,52.15,50.59
1218,88110,2,15/04/2015,708,7.00,6.72
1218,89110,2,15/04/2015,1506,7.00,6.51
1218,95110,2,15/04/2015,1499,6.00,5.58
1218,97110,2,15/04/2015,341,35.00,33.25
1218,110110,2,15/04/2015,183,98.75,91.84
1218,114110,2,15/04/2015,176,219.30,189.70
1204,39110,3,13/04/2015,107,67.73,62.99
1204,80110,3,13/04/2015,84,182.67,169.88
1201,105110,4,13/04/2015,67,1271.08,1182.10
1209,76110,2,13/04/2015,234,40.52,38.90
1215,6110,2,13/04/2015,396,129.72,120.64
1215,8110,2,13/04/2015,189,151.77,141.15
1215,11110,2,13/04/2015,403,370.13,344.22
1215,92110,2,13/04/2015,1226,5.00,4.70
1215,96110,2,13/04/2015,362,23.00,22.08
1216,3110,2,16/04/2015,437,23.80,23.09
1216,15110,2,16/04/2015,23,831.88,781.97
1216,21110,2,16/04/2015,183,40.65,39.02
1216,22110,2,16/04/2015,184,17.65,17.12
1216,26110,2,16/04/2015,122,370.86,344.90
1216,29110,2,16/04/2015,267,73.50,68.36
1216,31110,2,16/04/2015,443,16.29,15.80
1216,32110,2,16/04/2015,546,27.37,16.42
1216,35110,2,16/04/2015,191,26.54,23.89
1216,37110,2,16/04/2015,29,52.15,52.15
1216,64110,2,16/04/2015,77,41.61,40.36
1216,88110,2,16/04/2015,461,7.00,7.00
1216,89110,2,16/04/2015,981,7.00,6.79
1216,93110,2,16/04/2015,1067,5.00,4.80
1216,95110,2,16/04/2015,1052,6.00,5.76
1216,97110,2,16/04/2015,221,35.00,33.60
1216,99110,2,16/04/2015,195,5.23,5.23
1216,110110,2,16/04/2015,128,98.75,91.84
1216,9110,2,20/04/2015,975,13.22,12.69
1216,40110,2,20/04/2015,458,27.81,26.98
1205,69110,3,15/04/2015,49,110.00,102.30
1205,70240,3,15/04/2015,50,122.70,114.11
1405,69110,6,13/04/2015,74,110.00,102.30
1405,70240,6,13/04/2015,75,122.70,114.11
1215,6110,2,21/04/2015,398,129.72,120.64
1215,8110,2,21/04/2015,190,151.77,141.15
1215,11110,2,21/04/2015,375,370.13,344.22
1215,92110,2,21/04/2015,1264,5.00,4.70
1215,96110,2,21/04/2015,358,23.00,22.08
1218,3110,2,13/04/2015,699,23.80,22.61
1218,15110,2,13/04/2015,31,831.88,773.65
1218,21110,2,13/04/2015,260,40.65,38.62
1218,22110,2,13/04/2015,262,17.65,16.94
1218,26110,2,13/04/2015,176,370.86,344.90
1218,29110,2,13/04/2015,383,73.50,68.36
1218,32110,2,13/04/2015,783,27.37,16.42
1218,37110,2,13/04/2015,42,52.15,50.59
1218,88110,2,13/04/2015,663,7.00,6.72
1218,89110,2,13/04/2015,1411,7.00,6.51
1218,95110,2,13/04/2015,1545,6.00,5.58
1218,97110,2,13/04/2015,338,35.00,33.25
1218,110110,2,13/04/2015,196,98.75,91.84
1218,114110,2,13/04/2015,169,219.30,189.70
1210,104110,2,21/04/2015,39,889.02,826.79
1210,105110,2,21/04/2015,47,1271.08,1182.10
1210,106110,2,21/04/2015,32,1161.46,1080.16
1210,112110,2,21/04/2015,440,10.64,10.32
1213,9110,2,21/04/2015,1560,13.22,12.43
1213,40110,2,21/04/2015,654,27.81,26.70
1201,101110,5,11/05/2015,76,630.25,586.13
1201,107110,5,11/05/2015,40,1359.72,1264.54
1213,9110,2,11/05/2015,1586,13.22,12.43
1210,101110,2,20/05/2015,50,630.25,586.13
1210,107110,2,20/05/2015,28,1359.72,1264.54
1210,111110,2,20/05/2015,148,180.63,167.99
1210,112110,2,20/05/2015,491,10.64,10.32
1210,115110,2,20/05/2015,441,10.71,10.39
1215,8110,2,20/05/2015,194,151.77,141.15
1215,11110,2,20/05/2015,350,370.13,344.22
1215,23110,2,20/05/2015,172,104.48,97.17
1215,30110,2,20/05/2015,483,14.77,14.18
1215,36110,2,20/05/2015,712,34.90,27.92
1215,74110,2,20/05/2015,615,16.64,15.81
1215,98110,2,20/05/2015,226,6.00,6.00
1204,5110,3,11/05/2015,669,54.93,52.18
1204,19110,3,11/05/2015,243,265.14,246.58
1204,24110,3,11/05/2015,354,76.86,71.48
1204,34110,3,11/05/2015,146,51.24,49.19
1201,3110,5,11/05/2015,741,23.80,22.85
1201,9110,5,11/05/2015,1497,13.22,12.56
1201,15110,5,11/05/2015,33,831.88,773.65
1201,21110,5,11/05/2015,305,40.65,39.02
1201,22110,5,11/05/2015,306,17.65,17.12
1201,25110,5,11/05/2015,244,285.89,265.88
1201,29110,5,11/05/2015,352,73.50,68.36
1201,31110,5,11/05/2015,623,16.29,15.64
1201,39110,5,11/05/2015,113,67.73,62.99
1201,40110,5,11/05/2015,826,27.81,26.70
1201,64110,5,11/05/2015,105,41.61,39.95
1201,88110,5,11/05/2015,723,7.00,6.79
1201,97110,5,11/05/2015,351,35.00,33.60
1201,103110,5,11/05/2015,68,532.75,495.46
1201,104110,5,11/05/2015,68,889.02,826.79
1201,110110,5,11/05/2015,183,98.75,91.84
1201,113110,5,11/05/2015,811,12.81,12.30
1205,68110,3,17/05/2015,56,61.84,58.75
1205,69110,3,17/05/2015,51,110.00,102.30
1205,72110,3,17/05/2015,21,148.30,142.37
1213,15110,2,21/05/2015,33,831.88,773.65
1213,35110,2,21/05/2015,265,26.54,25.74
1213,63110,2,21/05/2015,157,48.88,46.92
1213,64110,2,21/05/2015,111,41.61,39.95
1213,69110,2,21/05/2015,82,110.00,102.30
1213,89110,2,21/05/2015,1397,7.00,6.72
1213,113110,2,21/05/2015,825,12.81,12.30
1209,87110,2,11/05/2015,1525,6.01,5.59
1218,21110,2,11/05/2015,298,40.65,38.62
1218,25110,2,11/05/2015,249,285.89,265.88
1218,29110,2,11/05/2015,360,73.50,68.36
1218,40110,2,11/05/2015,835,27.81,26.14
1218,88110,2,11/05/2015,716,7.00,6.72
1218,97110,2,11/05/2015,348,35.00,33.25
1218,103110,2,11/05/2015,67,532.75,495.46
1218,110110,2,11/05/2015,203,98.75,91.84
1209,87110,5,20/05/2015,1455,6.01,5.59
1211,68110,2,11/05/2015,78,61.84,57.51
1211,69110,2,11/05/2015,72,110.00,102.30
1218,3110,2,21/05/2015,705,23.80,22.85
1218,15110,2,21/05/2015,32,831.88,773.65
1218,21110,2,21/05/2015,280,40.65,38.62
1218,22110,2,21/05/2015,282,17.65,17.12
1218,25110,2,21/05/2015,226,285.89,265.88
1218,29110,2,21/05/2015,326,73.50,68.36
1218,40110,2,21/05/2015,803,27.81,26.14
1218,88110,2,21/05/2015,689,7.00,6.72
1218,95110,2,21/05/2015,1636,6.00,5.70
1218,97110,2,21/05/2015,317,35.00,33.25
1218,103110,2,21/05/2015,61,532.75,495.46
1218,110110,2,21/05/2015,171,98.75,91.84
1215,8110,2,12/05/2015,174,151.77,141.15
1215,11110,2,12/05/2015,339,370.13,344.22
1215,23110,2,12/05/2015,162,104.48,97.17
1215,30110,2,12/05/2015,464,14.77,14.18
1215,36110,2,12/05/2015,686,34.90,27.92
1215,74110,2,12/05/2015,551,16.64,15.81
1215,98110,2,12/05/2015,206,6.00,6.00
1216,3110,2,21/05/2015,482,23.80,23.09
1216,9110,2,21/05/2015,974,13.22,12.69
1216,15110,2,21/05/2015,23,831.88,781.97
1216,21110,2,21/05/2015,206,40.65,39.02
1216,22110,2,21/05/2015,207,17.65,17.12
1216,25110,2,21/05/2015,171,285.89,265.88
1216,29110,2,21/05/2015,246,73.50,68.36
1216,31110,2,21/05/2015,433,16.29,15.80
1216,40110,2,21/05/2015,574,27.81,26.70
1216,64110,2,21/05/2015,73,41.61,40.36
1216,88110,2,21/05/2015,489,7.00,7.00
1216,93110,2,21/05/2015,1109,5.00,4.80
1216,95110,2,21/05/2015,1250,6.00,5.76
1216,97110,2,21/05/2015,224,35.00,33.60
1216,110110,2,21/05/2015,130,98.75,91.84
1216,35110,2,12/05/2015,182,26.54,25.74
1216,89110,2,12/05/2015,953,7.00,6.79
1405,68110,6,11/05/2015,86,61.84,57.51
1405,69110,6,11/05/2015,78,110.00,102.30
1405,72110,6,11/05/2015,32,148.30,139.40
1405,68110,6,08/06/2015,74,61.84,57.51
1405,70240,6,08/06/2015,97,122.70,114.11
1405,71110,6,08/06/2015,40,95.62,92.75
1213,70240,2,08/06/2015,125,122.70,114.11
1211,68110,2,10/06/2015,82,61.84,57.51
1211,70240,2,10/06/2015,107,122.70,114.11
1209,87110,2,08/06/2015,1947,6.01,5.59
1218,3110,2,09/06/2015,775,23.80,22.37
1218,15110,2,09/06/2015,40,831.88,773.65
1218,21110,2,09/06/2015,368,40.65,38.62
1218,25110,2,09/06/2015,250,285.89,265.88
1218,29110,2,09/06/2015,486,73.50,68.36
1218,32110,2,09/06/2015,524,27.37,26.00
1218,37110,2,09/06/2015,52,52.15,50.06
1218,40110,2,09/06/2015,1248,27.81,22.25
1218,88110,2,09/06/2015,829,7.00,6.65
1218,89110,2,09/06/2015,1924,7.00,6.51
1218,97110,2,09/06/2015,393,35.00,33.25
1218,114110,2,09/06/2015,98,219.30,203.95
1215,30110,2,09/06/2015,549,14.77,13.88
1215,38110,2,09/06/2015,567,31.55,25.24
1215,73110,2,09/06/2015,3765,12.78,12.78
1215,86110,2,09/06/2015,2877,6.00,5.58
1215,92110,2,09/06/2015,1286,5.00,4.65
1215,96110,2,09/06/2015,379,23.00,21.85
1215,98110,2,09/06/2015,286,6.00,5.82
1204,5110,3,09/06/2015,776,54.93,52.18
1204,20110,3,09/06/2015,332,127.27,118.36
1204,67110,3,09/06/2015,41,294.38,273.77
1204,90110,3,09/06/2015,5855,7.00,6.51
1201,104110,5,08/06/2015,65,889.02,826.79
1201,109110,5,08/06/2015,638,76.86,71.48
1201,111110,5,08/06/2015,191,180.63,167.99
1201,3110,5,09/06/2015,676,23.80,22.85
1201,15110,5,09/06/2015,35,831.88,773.65
1201,21110,5,09/06/2015,332,40.65,39.02
1201,23110,5,09/06/2015,263,104.48,97.17
1201,25110,5,09/06/2015,224,285.89,265.88
1201,29110,5,09/06/2015,435,73.50,68.36
1201,32110,5,09/06/2015,448,27.37,26.55
1201,37110,5,09/06/2015,45,52.15,52.15
1201,40110,5,09/06/2015,1076,27.81,22.25
1201,88110,5,09/06/2015,721,7.00,6.79
1201,89110,5,09/06/2015,1673,7.00,6.65
1201,97110,5,09/06/2015,360,35.00,33.60
1201,101110,5,09/06/2015,89,630.25,586.13
1201,106110,5,09/06/2015,50,1161.46,1080.16
1201,108110,5,09/06/2015,42,910.82,847.06
1201,114110,5,09/06/2015,86,219.30,203.95
1209,87110,2,08/06/2015,1584,6.01,5.59
1218,3110,2,08/06/2015,889,23.80,22.37
1218,15110,2,08/06/2015,42,831.88,773.65
1218,21110,2,08/06/2015,402,40.65,38.62
1218,25110,2,08/06/2015,284,285.89,265.88
1218,29110,2,08/06/2015,552,73.50,68.36
1218,32110,2,08/06/2015,562,27.37,26.00
1218,37110,2,08/06/2015,56,52.15,50.06
1218,40110,2,08/06/2015,1330,27.81,22.25
1218,88110,2,08/06/2015,886,7.00,6.65
1218,89110,2,08/06/2015,2057,7.00,6.51
1218,97110,2,08/06/2015,444,35.00,33.25
1218,114110,2,08/06/2015,93,219.30,203.95
1213,26110,2,14/06/2015,244,370.86,344.90
1210,102110,2,15/06/2015,75,928.53,863.53
1210,104110,2,15/06/2015,53,889.02,826.79
1210,105110,2,15/06/2015,55,1271.08,1182.10
1210,109110,2,15/06/2015,558,76.86,71.48
1210,110110,2,15/06/2015,168,98.75,91.84
1210,111110,2,15/06/2015,167,180.63,167.99
1210,113110,2,15/06/2015,631,12.81,12.30
1216,3110,2,10/06/2015,540,23.80,22.85
1216,15110,2,10/06/2015,30,831.88,773.65
1216,21110,2,10/06/2015,276,40.65,39.02
1216,25110,2,10/06/2015,192,285.89,265.88
1216,29110,2,10/06/2015,374,73.50,68.36
1216,32110,2,10/06/2015,382,27.37,26.55
1216,37110,2,10/06/2015,38,52.15,52.15
1216,40110,2,10/06/2015,907,27.81,22.25
1216,88110,2,10/06/2015,598,7.00,6.79
1216,89110,2,10/06/2015,1389,7.00,6.72
1216,97110,2,10/06/2015,282,35.00,33.60
1216,26110,2,15/06/2015,165,370.86,344.90
1215,30110,2,07/06/2015,401,14.77,13.88
1215,38110,2,07/06/2015,413,31.55,25.24
1215,73110,2,07/06/2015,2804,12.78,12.78
1215,86110,2,07/06/2015,2078,6.00,5.58
1215,92110,2,07/06/2015,1001,5.00,4.65
1215,96110,2,07/06/2015,272,23.00,21.85
1215,98110,2,07/06/2015,205,6.00,5.82
1205,68110,3,07/06/2015,60,61.84,58.75
1205,70240,3,07/06/2015,78,122.70,114.11
1205,71110,3,07/06/2015,32,95.62,92.75
1215,30110,2,15/06/2015,588,14.77,13.88
1215,38110,2,15/06/2015,608,31.55,25.24
1215,73110,2,15/06/2015,4325,12.78,12.78
1215,86110,2,15/06/2015,3075,6.00,5.58
1215,92110,2,15/06/2015,1513,5.00,4.65
1215,96110,2,15/06/2015,429,23.00,21.85
1215,98110,2,15/06/2015,323,6.00,5.82
1218,25110,2,21/07/2015,321,285.89,265.88
1218,29110,2,21/07/2015,251,73.50,68.36
1218,88110,2,21/07/2015,999,7.00,6.79
1218,89110,2,21/07/2015,1841,7.00,6.65
1218,97110,2,21/07/2015,409,35.00,33.60
1215,6110,2,13/07/2015,282,129.72,120.64
1215,7110,2,13/07/2015,501,66.77,62.10
1215,12110,2,13/07/2015,110,650.89,605.33
1215,13110,2,13/07/2015,212,582.42,541.65
1215,31110,2,13/07/2015,637,16.29,15.48
